details,date,city,state,country,shape,summary,report_date,posted_date,month_count
https://nuforc.org/sighting/?id=177923,08/2023,Belvidere,IL,USA,Formation,"We looked up to the night sky. Saw a line of 8lights in a straight line. Then they all blasted faster than I can blink, go up so fast",08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177949,08/2023,Wofford Heights,CA,USA,Circle,Outside viewing the blue moon driveway,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177924,08/2023,Phippsburg,ME,USA,Formation,20+ Objects were single file at about 10 degrees going UP,08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178229,08/2023,Wayne,NJ,USA,Unknown,"Took a picture of the Blue Moon on 08/30. After I took the picture, I notice the UFO.",09/15/2023,10/28/2023,524
https://nuforc.org/sighting/?id=178039,08/2023,Hazel Park,MI,USA,Orb,Hovered in place for 30 seconds then disappeared,09/04/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178109,08/2023,Hamburg,PA,USA,Diamond,Diamond craft sighting,09/06/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178433,08/2023,Phoenix,AZ,USA,Other,Object was not noticed until later when looking at the picture,09/23/2023,10/28/2023,524
https://nuforc.org/sighting/?id=178128,08/2023,Chandler,AZ,USA,Cigar,While taking photo of last full moon I noticed an object caught in the photo above the moon,09/07/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177945,08/2023,Appleton,WI,USA,Other,"Light out, clear skies, silent, white tic tac/capsule w/ propellers around center, went fast.",08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177951,08/2023,Orange Beach,AL,USA,Changing,"Fast, low flying white cloud with object inside turned into triangle craft then shot off.",08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177917,08/2023,"I am in the forest, the nearest is newark",Nottinghamshire,United Kingdom,Cigar,"2 cigar shaped ufos were flying past each other, there were no wings and it was completely white.",08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177913,08/2023,Spanish Springs,NV,USA,Disk,"Highly reflective silver disc flying low over Spanish springs, no visible wings or propeller",08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177912,08/2023,Chanhassen,MN,USA,Triangle,I have a picture where you can clearly see the craft as well as what appears to be an interdimensional being below,08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177928,08/2023,St. Louis,MO,USA,Light,3 to 4 lights rotating around each other,08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177985,08/2023,West Branch,MI,USA,Rectangle,"Craft was small as a star, it was a dot that flashed, then it kept getting bigger, rectangular & looked like thrusters slowing it down",09/03/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177915,08/2023,Topeka,KS,USA,Formation,String of 3 brite white lights with the outline highlight of the surrounding area of the light.,08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178007,08/2023,Staten Island,NY,USA,Other,Unknown,09/04/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177922,08/2023,Port Angeles,WA,USA,Cube,A cube shape that appeared to be on fire and it was headed at 45 degree slant toward earth.,08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177920,08/2023,El Dorado Hills,CA,USA,Teardrop,Very bright white/blue light descend very fast in couple of seconds,08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178163,08/2023,east meadow,NY,USA,Rectangle,"Object low flying N/W to S/E from Eisenhower Park, passed overhead",09/08/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177918,08/2023,Leeds,NA,United Kingdom,Other,"I have first seen one object moving slowly, then a second one, and then a bright, white blinking light",08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177876,08/2023,Sherwood,AR,USA,Circle,UAP follows air plane,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177916,08/2023,San Francisco,CA,USA,Light,"Craft with two green and one red lights that hovered, changing altitude and location several times",08/30/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177878,08/2023,Ashtabula,OH,USA,Cylinder,Just cruising along after work and spotted a white cylinder or tictac shape something sitting still in the sky,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177873,08/2023,Aurora,OR,USA,Light,Bright light by the clouds,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177874,08/2023,Mumbai,Maharashtra,India,Cross,Cross shaped bright object moving across the sky from high to low and left to right. Stationary for sometime and resuming movement,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177890,08/2023,Worcester,MA,USA,Egg,"Saw what looked like a small jet going oddly fast across the sky on a clear day, when it changed into two white tictacs close together",08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177889,08/2023,Avenal,CA,USA,Oval,Ballon type object floating in the same space,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177877,08/2023,North Haven,CT,USA,Circle,"Craft outside above apartments every night for about 3.5 weeks. Craft dropped down and something started to come out of it,I ran inside",08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177894,08/2023,Denver,CO,USA,Circle,Seen in the sky at dawn. Hovering and rotating with green and red lights,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178409,08/2023,Polson,MT,USA,Star,Saw a super bright star and thought it might be moving. So I grabbed my cellphone and started recording. Then it really started moving.,09/20/2023,10/28/2023,524
https://nuforc.org/sighting/?id=178081,08/2023,Torbay,NL,Canada,Orb,Floating white orb sped by,09/05/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178615,08/2023,NA,OR,USA,Unknown,"UFO appeared before me, flew almost directly over me, large red ""V"" on underside, felt wave as it passed, silent and moved off quickly",10/02/2023,10/28/2023,524
https://nuforc.org/sighting/?id=177939,08/2023,El Dorado Hills,CA,USA,Triangle,Triangle formation just under the Big Dipper. Looks like 3 stars but are not. Object of triangle formation moves from day to day.,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177896,08/2023,Sterling Heights,MI,USA,Sphere,Sphere sitting still than jolts up and speeds out of sight.,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177897,08/2023,Mt Pleasant,NC,USA,Disk,3 Disc shaped craft moving 10 times the speed of the plane i was watching already,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178003,08/2023,Key West,FL,USA,Light,"Large, silent green light moved very slowly NW towards Navy Base - abruptly changed course to SW and went supersonic (again, silent)",09/02/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177886,08/2023,Licking,MO,USA,Changing,Lights in my backyard every night,08/29/2023,09/10/2023,524
